Wavelength (nm),Intensity
526.56,797
527.02,786
527.48,764
527.94,788
528.39,791
528.85,789
529.31,788
529.77,763
530.23,783
530.69,779
531.14,783
531.6,788
532.06,785
532.52,805
532.98,777
533.43,774
533.89,778
534.35,797
534.81,764
535.27,794
535.72,810
536.18,775
536.64,774
537.1,783
537.55,782
538.01,788
538.47,765
538.93,794
539.39,809
539.84,796
540.3,792
540.76,791
541.22,788
541.67,799
542.13,795
542.59,804
543.05,775
543.5,776
543.96,783
544.42,795
544.88,794
545.33,784
545.79,782
546.25,795
546.7,791
547.16,771
547.62,771
548.08,787
548.53,792
548.99,786
549.45,766
549.9,781
550.36,802
550.82,769
551.28,790
551.73,789
552.19,789
552.65,774
553.1,770
553.56,796
554.02,792
554.47,770
554.93,791
555.39,786
555.84,790
556.3,772
556.76,790
557.21,779
557.67,789
558.13,776
558.58,796
559.04,806
559.5,772
559.95,784
560.41,792
560.87,772
561.32,777
561.78,782
562.24,801
562.69,783
563.15,794
563.61,771
564.06,781
564.52,794
564.97,783
565.43,783
565.89,804
566.34,805
566.8,780
567.25,786
567.71,797
568.17,795
568.62,765
569.08,763
569.53,768
569.99,796
570.45,772
570.9,772
571.36,798
571.81,793
572.27,762
572.73,786
573.18,776
573.64,791
574.09,762
574.55,787
575,794
575.46,796
575.92,791
576.37,776
576.83,787
577.28,799
577.74,776
578.19,786
578.65,783
579.1,805
579.56,789
580.02,799
580.47,785
580.93,793
581.38,790
581.84,792
582.29,785
582.75,785
583.2,793
583.66,785
584.11,798
584.57,775
585.02,768
585.48,794
585.93,798
586.39,770
586.84,766
587.3,780
587.75,796
588.21,786
588.66,789
589.12,781
589.57,793
590.03,778
590.48,804
590.94,805
591.39,784
591.85,791
592.3,790
592.76,785
593.21,794
593.66,783
594.12,773
594.57,798
595.03,788
595.48,782
595.94,775
596.39,788
596.85,806
597.3,787
597.75,788
598.21,799
598.66,797
599.12,788
599.57,778
600.03,791
600.48,787
600.93,779
601.39,799
601.84,804
602.3,789
602.75,793
603.21,782
603.66,792
604.11,817
604.57,777
605.02,785
605.47,779
605.93,779
606.38,784
606.84,781
607.29,789
607.74,788
608.2,780
608.65,780
609.11,795
609.56,774
610.01,778
610.47,785
610.92,793
611.37,779
611.83,799
612.28,778
612.73,797
613.19,779
613.64,790
614.09,809
614.55,787
615,795
615.45,778
615.91,770
616.36,799
616.81,798
617.27,776
617.72,781
618.17,798
618.63,760
619.08,787
619.53,768
619.99,769
620.44,784
620.89,784
621.35,794
621.8,791
622.25,791
622.7,783
623.16,784
623.61,807
624.06,771
624.52,760
624.97,801
625.42,774
625.87,769
626.33,783
626.78,763
627.23,777
627.69,782
628.14,782
628.59,792
629.04,786
629.5,777
629.95,786
630.4,788
630.85,792
631.31,794
631.76,821
632.21,836
632.66,791
633.11,783
633.57,793
634.02,800
634.47,793
634.92,787
635.38,801
635.83,776
636.28,796
636.73,794
637.18,788
637.64,780
638.09,799
638.54,764
638.99,782
639.44,781
639.9,762
640.35,774
640.8,787
641.25,784
641.7,781
642.16,795
642.61,773
643.06,793
643.51,779
643.96,765
644.41,765
644.87,782
645.32,786
645.77,789
646.22,784
646.67,779
647.12,747
647.58,769
648.03,786
648.48,787
648.93,773
649.38,774
649.83,797
650.28,785
650.74,751
651.19,778
651.64,782
652.09,797
652.54,776
652.99,756
653.44,784
653.89,770
654.34,774
654.8,769
655.25,782
655.7,772
656.15,772
656.6,780
657.05,779
657.5,773
657.95,767
658.4,766
658.85,790
659.31,775
659.76,770
660.21,770
660.66,778
661.11,769
661.56,757
662.01,779
662.46,781
662.91,764
663.36,779
663.81,792
664.26,782
664.71,756
665.16,762
665.61,780
666.06,783
666.51,746
666.96,780
667.42,784
667.87,780
668.32,772
668.77,765
669.22,778
669.67,791
670.12,766
670.57,758
671.02,756
671.47,770
671.92,763
672.37,756
672.82,771
673.27,790
673.72,781
674.17,780
674.62,749
675.07,783
675.52,786
675.97,761
676.42,778
676.87,765
677.32,760
677.77,796
678.22,762
678.66,761
679.11,781
679.56,760
680.01,778
680.46,801
680.91,770
681.36,771
681.81,766
682.26,758
682.71,774
683.16,753
683.61,776
684.06,772
684.51,774
684.96,779
685.41,777
685.86,760
686.31,763
686.75,768
687.2,778
687.65,774
688.1,764
688.55,747
689,768
689.45,749
689.9,779
690.35,768
690.8,779
691.24,769
691.69,747
692.14,752
692.59,768
693.04,759
693.49,773
693.94,770
694.39,765
694.84,784
695.28,760
695.73,774
696.18,768
696.63,743
697.08,765
697.53,764
697.98,774
698.42,772
698.87,764
699.32,757
699.77,764
700.22,768
700.67,756
701.11,776
701.56,770
702.01,755
702.46,756
702.91,752
703.36,761
703.8,748
704.25,769
704.7,778
705.15,779
705.6,770
706.04,748
706.49,772
706.94,786
707.39,767
707.84,788
708.28,800
708.73,787
709.18,762
709.63,770
710.08,775
710.52,781
710.97,759
711.42,760
711.87,782
712.31,783
712.76,781
713.21,772
713.66,751
714.1,766
714.55,746
715,779
715.45,764
715.89,777
716.34,780
716.79,762
717.24,762
717.68,765
718.13,750
718.58,772
719.03,778
719.47,777
719.92,777
720.37,756
720.82,773
721.26,770
721.71,758
722.16,756
722.6,784
723.05,753
723.5,760
723.94,764
724.39,763
724.84,756
725.29,753
725.73,770
726.18,776
726.63,740
727.07,754
727.52,762
727.97,777
728.41,763
728.86,765
729.31,785
729.75,777
730.2,760
730.65,761
731.09,772
731.54,773
731.99,806
732.43,765
732.88,768
733.33,760
733.77,754
734.22,752
734.66,758
735.11,773
735.56,764
736,772
736.45,761
736.9,776
737.34,746
737.79,782
738.23,785
738.68,759
739.13,767
739.57,777
740.02,778
740.46,761
740.91,749
741.36,769
741.8,776
742.25,774
742.69,762
743.14,774
743.59,767
744.03,781
744.48,764
744.92,769
745.37,770
745.81,756
746.26,764
746.71,789
747.15,782
747.6,773
748.04,757
748.49,765
748.93,784
749.38,770
749.82,754
750.27,768
750.71,758
751.16,771
751.61,755
752.05,751
752.5,776
752.94,764
753.39,765
753.83,783
754.28,759
754.72,753
755.17,741
755.61,783
756.06,779
756.5,767
756.95,746
757.39,773
757.84,782
758.28,776
758.73,753
759.17,775
759.62,771
760.06,774
760.51,767
760.95,748
761.4,796
761.84,776
762.29,748
762.73,780
763.17,786
763.62,767
764.06,755
764.51,763
764.95,763
765.4,754
765.84,773
766.29,797
766.73,789
767.17,763
767.62,776
768.06,808
768.51,782
768.95,778
769.4,782
769.84,775
770.28,750
770.73,768
771.17,784
771.62,772
772.06,766
772.51,776
772.95,764
773.39,766
773.84,761
774.28,759
774.73,787
775.17,779
775.61,775
776.06,761
776.5,766
776.94,743
777.39,746
777.83,759
778.28,796
778.72,790
779.16,770
779.61,765
780.05,770
780.49,778
780.94,755
781.38,771
781.82,772
782.27,778
782.71,753
783.15,770
783.6,773
784.04,764
784.48,769
784.93,765
785.37,764
785.81,757
786.26,764
786.7,745
787.14,778
787.59,773
788.03,774
788.47,756
788.92,787
789.36,774
789.8,767
790.25,768
790.69,804
791.13,772
791.57,767
792.02,786
792.46,776
792.9,789
793.35,766
793.79,767
794.23,770
794.67,784
795.12,786
795.56,789
796,793
796.44,795
796.89,792
797.33,777
797.77,792
798.21,781
798.66,796
799.1,782
799.54,796
799.98,780
800.43,780
800.87,809
801.31,818
801.75,785
802.2,800
802.64,809
803.08,802
803.52,805
803.96,813
804.41,828
804.85,841
805.29,821
805.73,830
806.17,831
806.62,856
807.06,834
807.5,821
807.94,856
808.38,847
808.83,849
809.27,838
809.71,864
810.15,864
810.59,862
811.04,855
811.48,877
811.92,886
812.36,873
812.8,889
813.24,896
813.68,902
814.13,902
814.57,918
815.01,920
815.45,940
815.89,946
816.33,956
816.77,990
817.22,1002
817.66,1027
818.1,1039
818.54,1070
818.98,1093
819.42,1107
819.86,1173
820.3,1225
820.75,1227
821.19,1283
821.63,1332
822.07,1384
822.51,1454
822.95,1554
823.39,1651
823.83,1770
824.27,1848
824.71,1998
825.16,2012
825.6,2132
826.04,2282
826.48,2293
826.92,2500
827.36,2563
827.8,2656
828.24,2773
828.68,2740
829.12,2851
829.56,3009
830,3064
830.44,3069
830.88,3065
831.32,3019
831.76,3193
832.21,3086
832.65,3042
833.09,3107
833.53,3133
833.97,3190
834.41,3186
834.85,3214
835.29,3356
835.73,3417
836.17,3479
836.61,3547
837.05,3618
837.49,3772
837.93,3812
838.37,4014
838.81,4153
839.25,4274
839.69,4326
840.13,4584
840.57,4804
841.01,5239
841.45,5609
841.89,5938
842.33,6106
842.77,6438
843.21,7139
843.65,7697
844.09,8090
844.53,8249
844.96,8880
845.4,9767
845.84,10173
846.28,10386
846.72,10863
847.16,11197
847.6,11498
848.04,11896
848.48,12004
848.92,12415
849.36,12155
849.8,12341
850.24,11787
850.68,11707
851.12,11588
851.56,10905
851.99,10396
852.43,10167
852.87,10247
853.31,9687
853.75,9073
854.19,8496
854.63,8227
855.07,7981
855.51,7437
855.95,6905
856.38,6888
856.82,6879
857.26,6360
857.7,5971
858.14,5701
858.58,5618
859.02,5490
859.46,5315
859.89,5211
860.33,4825
860.77,4736
861.21,4631
861.65,4621
862.09,4464
862.53,4384
862.96,4504
863.4,4449
863.84,4529
864.28,4332
864.72,4049
865.16,3836
865.6,3769
866.03,3800
866.47,3630
866.91,3562
867.35,3514
867.79,3255
868.22,3184
868.66,3113
869.1,3072
869.54,2921
869.98,2894
870.41,2705
870.85,2658
871.29,2528
871.73,2393
872.17,2352
872.6,2267
873.04,2204
873.48,2154
873.92,1974
874.36,1921
874.79,1744
875.23,1694
875.67,1609
876.11,1576
876.54,1544
876.98,1467
877.42,1354
877.86,1314
878.29,1294
878.73,1246
879.17,1211
879.61,1168
880.04,1172
880.48,1118
880.92,1126
881.36,1092
881.79,1086
882.23,1068
882.67,1077
883.11,1059
883.54,1064
883.98,1065
884.42,1067
884.85,1053
885.29,1036
885.73,1050
886.16,1097
886.6,1061
887.04,1072
887.48,1062
887.91,1087
888.35,1069
888.79,1068
889.22,1087
889.66,1067
890.1,1075
890.53,1077
890.97,1094
891.41,1071
891.84,1041
892.28,1031
892.72,1073
893.15,1063
893.59,1061
894.03,1062
894.46,1047
894.9,1011
895.34,1029
895.77,1050
896.21,1070
896.65,1028
897.08,1008
897.52,1024
897.95,1000
898.39,984
898.83,968
899.26,1000
899.7,984
900.13,966
900.57,964
901.01,959
901.44,968
901.88,956
902.32,933
902.75,929
903.19,929
903.62,904
904.06,870
904.49,903
904.93,905
905.37,880
905.8,865
906.24,886
906.67,872
907.11,868
907.55,859
907.98,837
908.42,841
908.85,839
909.29,829
909.72,832
910.16,814
910.59,825
911.03,822
911.46,802
911.9,811
912.34,790
912.77,807
913.21,802
913.64,783
914.08,788
914.51,788
914.95,795
915.38,786
915.82,760
916.25,780
916.69,775
917.12,779
917.56,792
917.99,780
918.43,768
918.86,787
919.3,769
919.73,773
920.17,800
920.6,767
921.04,773
921.47,766
921.91,784
922.34,777
922.78,752
923.21,779
923.65,782
924.08,774
924.51,774
924.95,787
925.38,792
925.82,773
926.25,791
926.69,778
927.12,791
927.56,746
927.99,761
928.42,777
928.86,770
929.29,757
929.73,775
930.16,767
930.6,787
931.03,769
931.46,760
931.9,776
932.33,795
932.77,765
933.2,775
933.63,760
934.07,768
934.5,762
934.94,775
935.37,770
935.8,756
936.24,777
936.67,758
937.11,761
937.54,778
937.97,748
938.41,770
938.84,776
939.27,774
939.71,763
940.14,776
940.57,779
941.01,798
941.44,772
941.87,774
942.31,757
942.74,792
943.17,765
943.61,768
944.04,779
944.47,784
944.91,756
945.34,769
945.77,778
946.21,775
946.64,771
947.07,773
947.51,756
947.94,769
948.37,753
948.81,758
949.24,792
949.67,777
950.11,770
950.54,757
950.97,784
951.4,757
951.84,758
952.27,774
952.7,760
953.14,768
953.57,759
954,772
954.43,781
954.87,784
955.3,773
955.73,776
956.16,769
956.6,743
957.03,762
957.46,771
957.89,764
958.33,774
958.76,761
959.19,770
959.62,772
960.06,753
960.49,780
960.92,764
961.35,780
961.78,775
962.22,745
962.65,767
963.08,773
963.51,766
963.94,762
964.38,764
964.81,775
965.24,751
965.67,772
966.1,772
966.54,780
966.97,766
967.4,770
967.83,788
968.26,776
968.7,775
969.13,787
969.56,761
969.99,759
970.42,773
970.85,762
971.28,788
971.72,770
972.15,773
972.58,747
973.01,757
973.44,776
973.87,772
974.31,784
974.74,762
975.17,764
975.6,763
976.03,771
976.46,762
976.89,755
977.32,760
977.75,773
978.19,786
978.62,775
979.05,763
979.48,774
979.91,771
980.34,748
980.77,754
981.2,779
981.63,770
982.06,743
982.5,754
982.93,778
983.36,771
983.79,762
984.22,772
984.65,770
985.08,764
985.51,769
985.94,769
986.37,761
986.8,785
987.23,778
987.66,759
988.09,773
988.52,770
988.95,771
989.39,776
989.82,768
990.25,769
990.68,748
991.11,768
991.54,776
991.97,771
992.4,752
992.83,756
993.26,785
993.69,779
994.12,761
994.55,755
994.98,792
995.41,774
995.84,782
996.27,784
996.7,785
997.13,765
997.56,787
997.99,790
998.42,789
998.85,781
999.28,762
999.71,775
1000.14,794
1000.57,772
1000.99,765
1001.42,760
1001.85,779
1002.28,770
1002.71,773
1003.14,748
1003.57,767
1004,776
1004.43,762
1004.86,759
1005.29,785
1005.72,772
1006.15,756
1006.58,771
1007.01,786
1007.44,767
1007.86,756
1008.29,758
1008.72,778
1009.15,761
1009.58,754
1010.01,745
1010.44,766
1010.87,776
1011.3,773
1011.73,779
1012.15,763
1012.58,779
1013.01,770
1013.44,758
1013.87,777
1014.3,741
1014.73,780
1015.16,771
1015.58,772
1016.01,772
1016.44,774
1016.87,772
1017.3,773
1017.73,778
1018.16,776
1018.58,771
1019.01,755
1019.44,786
1019.87,766
1020.3,770
1020.73,761
1021.15,761
1021.58,767
1022.01,770
1022.44,773
1022.87,763
1023.3,773
1023.72,775
1024.15,785
1024.58,768
1025.01,762
1025.44,777
1025.86,761
1026.29,746
1026.72,761
1027.15,779
1027.58,782
1028,750
1028.43,772
1028.86,766
1029.29,769
1029.71,758
1030.14,771
1030.57,768
1031,769
1031.43,768
1031.85,756
1032.28,778
1032.71,761
1033.14,759
1033.56,787
1033.99,779
1034.42,751
1034.85,774
1035.27,783
1035.7,771
1036.13,747
1036.55,758
1036.98,766
1037.41,781
1037.84,759
1038.26,756
1038.69,777
1039.12,772
1039.54,745
1039.97,760
1040.4,774
1040.83,766
1041.25,777
1041.68,784
1042.11,773
1042.53,787
1042.96,754
1043.39,776
1043.81,754
1044.24,766
1044.67,760
1045.09,765
1045.52,763
1045.95,785
1046.37,762
1046.8,780
1047.23,795
1047.65,779
1048.08,773
1048.51,764
1048.93,779
1049.36,766
1049.79,756
1050.21,781
1050.64,796
1051.06,759
1051.49,774
1051.92,751
1052.34,774
1052.77,769
1053.2,757
1053.62,768
1054.05,770
1054.47,765
1054.9,758
1055.33,753
1055.75,777
1056.18,757
1056.6,756
1057.03,773
1057.46,770
1057.88,758
1058.31,768
1058.73,765
1059.16,769
1059.58,766
1060.01,768
1060.44,760
1060.86,782
1061.29,768
1061.71,738
1062.14,791
1062.56,773
1062.99,761
1063.41,754
1063.84,773
1064.27,792
1064.69,766
1065.12,778
1065.54,752
1065.97,791
1066.39,759
1066.82,761
1067.24,788
1067.67,764
1068.09,762
1068.52,769
1068.94,788
1069.37,772
1069.79,747
1070.22,758
1070.64,780
1071.07,775
1071.49,746
1071.92,776
1072.34,758
1072.77,762
1073.19,753
1073.62,762
1074.04,767
1074.47,765
1074.89,775
1075.32,775
1075.74,781
1076.17,764
1076.59,764
1077.01,755
1077.44,785
1077.86,775
1078.29,747
1078.71,773
1079.14,767
1079.56,758
1079.99,759
1080.41,788
1080.83,745
1081.26,760
1081.68,766
1082.11,770
1082.53,776
1082.96,747
1083.38,754
1083.8,772
1084.23,766
1084.65,780
1085.08,770
1085.5,754
1085.92,783
1086.35,775
1086.77,785
1087.2,770
1087.62,756
1088.04,765
1088.47,773
1088.89,778
1089.31,797
1089.74,763
1090.16,764
1090.58,784
1091.01,760
1091.43,755
1091.86,788
1092.28,774
1092.7,782
1093.13,756
1093.55,773
1093.97,760
1094.4,774
1094.82,769
1095.24,774
1095.67,756
1096.09,774
1096.51,760
1096.94,780
1097.36,787
1097.78,779
1098.21,780
1098.63,764
1099.05,763
1099.47,755
1099.9,741
1100.32,748
1100.74,781
1101.17,775
1101.59,746
1102.01,760
1102.43,770
1102.86,757
1103.28,759
1103.7,772
1104.13,759
1104.55,764
1104.97,745
1105.39,757
1105.82,776
1106.24,760
1106.66,749
1107.08,791
1107.51,793
1107.93,755
1108.35,762
