time (fs),deltaI
55.88547489,-0.485422694
55.82827392,-7.661303194
55.77107295,-14.88994752
55.71387198,-21.85477271
55.65667101,-28.55577876
55.59947005,-34.78191037
55.54226908,-40.2693484
55.48506811,-44.59598223
55.42786714,-48.23668631
55.37066617,-50.61105853
55.3134652,-52.299501
55.25626423,-52.72161162
55.19906327,-52.45779249
55.1418623,-50.98040532
55.08466133,-49.23919903
55.02746036,-46.91759063
54.97025939,-44.12110779
54.91305842,-41.21909729
54.85585746,-37.94774001
54.79865649,-34.30703593
54.74145552,-30.19145741
54.68425455,-25.54824061
54.62705358,-20.32462172
54.56985261,-14.4678369
54.51265164,-8.399996774
54.45545068,-2.121101338
54.39824971,3.788447309
54.34104874,9.22312151
54.28384777,14.28844892
54.2266468,18.82613806
54.16944583,22.67789745
54.11224487,25.79096325
54.0550439,28.48191844
53.99784293,30.64523535
53.94064196,32.59749696
53.88344099,33.75830116
53.82624002,34.39146708
53.76903905,34.2331756
53.71183809,33.60000968
53.65463712,32.49196931
53.59743615,30.11759708
53.54023518,27.00453128
53.48303421,22.83618893
53.42583324,18.03468065
53.36863227,12.60000645
53.31143131,6.426638669
53.25423034,0.147743232
53.19702937,-6.500498995
53.1398284,-12.77939443
53.08262743,-18.74170691
53.02542646,-24.28190876
52.9682255,-29.29447235
52.91102453,-34.04321679
52.85382356,-38.3170868
52.79662259,-42.22161001
52.73942162,-45.54573112
52.68222065,-48.44774162
52.62501968,-50.9276415
52.56781872,-52.77437545
52.51061775,-53.98794348
52.45341678,-54.46281792
52.39621581,-54.19899878
52.33901484,-53.09095841
52.28181387,-51.40251594
52.22461291,-48.81708841
52.16741194,-45.22914816
52.11021097,-41.21909729
52.05301,-36.83969964
51.99580903,-32.19648284
51.93860806,-27.28944691
51.88140709,-22.2241195
51.82420613,-17.15879209
51.76700516,-12.19899233
51.70980419,-7.608539366
51.65260322,-2.807031091
51.59540225,1.783421875
51.53820128,6.901513114
51.48100032,11.80854904
51.42379935,16.61005732
51.36659838,21.09498263
51.30939741,25.31608881
51.25219644,29.16784819
51.19499547,32.06985869
51.1377945,34.44423091
51.08059354,35.71056276
51.02339257,36.50202017
50.9661916,36.34372869
50.90899063,35.49950746
50.85178966,34.02212029
50.79458869,32.01709486
50.73738773,29.69548646
50.68018676,26.74071214
50.62298579,23.31106337
50.56578482,19.77588695
50.50858385,15.81859991
50.45138288,11.38643843
50.39418191,6.795985459
50.33698095,2.100004838
50.27977998,-3.176377882
50.22257901,-8.241705293
50.16537804,-13.51808801
50.10817707,-18.58341542
50.0509761,-23.22663222
49.99377514,-27.23668308
49.93657417,-30.29698506
49.8793732,-32.93517642
49.82217223,-34.57085507
49.76497126,-35.94271457
49.70777029,-36.5758805
49.65056932,-37.05075494
49.59336836,-37.26181025
49.53616739,-37.26181025
49.47896642,-36.73417198
49.42176545,-35.62613161
49.36456448,-34.2542721
49.30736351,-32.3020105
49.25016255,-29.82211062
49.19296158,-26.55075333
49.13576061,-22.69899395
49.07855964,-18.42512394
49.02135867,-13.57085184
48.9641577,-8.136177638
48.90695673,-2.384920474
48.84975577,3.735683482
48.7925548,10.06734275
48.73535383,16.34623818
48.67815286,21.99196769
48.62095189,27.37387807
48.56375092,32.12262252
48.50654996,36.66031165
48.44934899,40.67036252
48.39214802,44.20553894
48.33494705,47.10754944
48.27774608,49.1653387
48.22054511,50.64272586
48.16334414,51.17036413
48.10614318,50.64272586
48.04894221,49.00704722
47.99174124,46.42161969
47.93454027,42.99197092
47.8773393,38.92915622
47.82013833,34.33870326
47.76293737,29.27337585
47.7057364,24.57739523
47.64853543,19.93417843
47.59133446,15.6075446
47.53413349,11.38643843
47.47693252,7.481915213
47.41973155,3.788447309
47.36253059,0.094979405
47.30532962,-3.704016154
47.24812865,-7.819594675
